trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.6, 'e': 1.0}",20,0,-24.768313402704045,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.6, 'e': 1.0}",30,0,-210.58023362884157,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0
123,False,"{'a': 0.6, 'e': 1.0}",25,0,-129.81584880839526,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
124,False,"{'a': 0.6, 'e': 1.0}",25,0,-176.01817354623986,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
125,False,"{'a': 0.6, 'e': 1.0}",25,0,-190.17205998476842,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
126,False,"{'a': 0.6, 'e': 1.0}",20,0,-160.7919885352316,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
127,False,"{'a': 0.6, 'e': 1.0}",25,0,-151.05096667570908,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
128,False,"{'a': 0.6, 'e': 1.0}",30,0,-265.94159799978524,"{0: 12, 1: 2, 2: 11, 3: 2, 4: 3}",0
129,False,"{'a': 0.6, 'e': 1.0}",20,0,-64.45946639538397,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
130,False,"{'a': 0.6, 'e': 1.0}",25,0,-124.75972470267698,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.6, 'e': 1.0}",25,0,-108.55939436441318,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
132,False,"{'a': 0.6, 'e': 1.0}",25,0,-139.570717160115,"{0: 16, 1: 2, 2: 2, 3: 4, 4: 1}",0
133,False,"{'a': 0.6, 'e': 1.0}",25,0,-168.94962162635045,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
134,False,"{'a': 0.6, 'e': 1.0}",20,0,-72.03285301244864,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
135,False,"{'a': 0.6, 'e': 1.0}",30,0,-91.49454263486099,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
136,False,"{'a': 0.6, 'e': 1.0}",30,0,-106.79953879920242,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
137,False,"{'a': 0.6, 'e': 1.0}",25,0,-32.17070374410777,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.6, 'e': 1.0}",20,9,-42.97663912336581,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 0}",1
139,False,"{'a': 0.6, 'e': 1.0}",20,0,-73.07363886635977,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
140,False,"{'a': 0.6, 'e': 1.0}",20,0,-24.386681652528914,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.6, 'e': 1.0}",25,0,-114.05282608986785,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
142,False,"{'a': 0.6, 'e': 1.0}",25,0,-116.38655220441302,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
143,False,"{'a': 0.6, 'e': 1.0}",30,0,-121.42408441657614,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
144,False,"{'a': 0.6, 'e': 1.0}",20,7,-87.40229042376801,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
145,False,"{'a': 0.6, 'e': 1.0}",20,0,-83.07785703381874,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
146,False,"{'a': 0.6, 'e': 1.0}",20,0,-210.7566863342866,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
